regiao;idade;area;sexo;cor.ou.raca;escolaridade;escolaridadepai;escolaridademae;rendachefedefamiliaultimomes;renda.total.de.todos.os.moradores;numero.de.moradores.no.domicilio;no.ultimo.mes.alguma.pessoa.deste.domicilio.recebeu.rendimentos.do.bolsa.familia;religiao;mulheres.que.usam.roupas.que.mostram.o.corpo.merecem.ser.atacadas;as.mulatas.sao.mais.fogosas.do.que.as.mulheres.brancas;da.pra.entender.que.um.homem.que.cresceu.em.uma.familia.violenta.agrida.sua.mulher;os.homens.devem.ser.a.cabeca.do.lar;casos.de.violencia.dentro.de.casa.devem.ser.discutidos.somente.entre.os.membros.;incomoda.ver.dois.homens,.ou.duas.mulheres,.se.beijando.na.boca.em.publico;se.as.mulheres.soubessem.como.se.comportar,.haveria.menos.estupros;homem.que.bate.na.esposa.tem.que.ir.para.a.cadeia;e.violencia.falar.mentiras.sobre.uma.mulher.para.os.outros;toda.mulher.sonha.em.se.casar;o.que.acontece.com.o.casal.em.casa.nao.interessa.aos.outros;quando.ha.violencia,.os.casais.devem.se.separar;casais.de.pessoas.do.mesmo.sexo.devem.ter.os.mesmos.direitos.dos.outros.casais;da.pra.entender.que.um.homem.rasgue.ou.quebre.as.coisas.da.mulher.se.ficou.nervoso;um.homem.pode.xingar.e.gritar.com.sua.propria.mulher;e.da.natureza.do.homem.ser.violento;em.briga.de.marido.e.mulher,.nao.se.mete.a.colher;a.roupa.suja.deve.ser.lavada.em.casa;uma.mulher.so.se.sente.realizada.quando.tem.filhos;a.mulher.casada.deve.satisfazer.o.marido.na.cama,.mesmo.quando.nao.tem.vontade;piada.de.preto.e.so.brincadeira,.nao.e.racismo;um.casal.de.dois.homens.vive.um.amor.tao.bonito.quanto.entre.um.homem.e.uma.mulher;mulher.que.e.agredida.e.continua.com.o.parceiro.gosta.de.apanhar;casamento.de.homem.com.homem.ou.de.mulher.com.mulher.deve.ser.proibido;a.mulher.que.apanha.em.casa.deve.ficar.quieta.para.nao.prejudicar.os.filhos;a.questao.da.violencia.contra.as.mulheres.recebe.mais.importancia.do.que.merece;tem.mulher.que.e.pra.casar,.tem.mulher.que.e.pra.cama
NORDESTE;49;urbano;feminino;amarela;medio completo;primeira serie medio;analfabeto ou sem instrucao;2000;2000;2;2;catolica;concorda total;concorda total;discorda total;discorda total;discorda total;discorda parcial;discorda total;discorda total;discorda parcial;discorda parcial;concorda total;discorda parcial;discorda total;concorda parcial;discorda total;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total
NORDESTE;27;urbano;feminino;branca;segunda serie medio;nao sabe;nao sabe;300;3000;3;2;evangelica;discorda parcial;discorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda total;concorda total;discorda parcial;discorda parcial;discorda total;concorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total;discorda parcial;discorda parcial;concorda total
NORDESTE;18;urbano;masculino;branca;terceira serie medio incompleto;superior completo;mestrado;;6000;4;2;catolica;discorda parcial;concorda total;concorda parcial;concorda total;discorda parcial;discorda total;concorda total;concorda total;discorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda total;discorda parcial;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total
NORDESTE;53;urbano;feminino;amarela;medio completo;primeira serie medio;analfabeto ou sem instrucao;2000;;5;2;espirita;concorda total;concorda total;discorda total;concorda total;discorda total;discorda parcial;discorda total;discorda total;discorda parcial;concorda parcial;concorda total;discorda parcial;discorda total;concorda parcial;discorda total;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total
NORDESTE;39;urbano;masculino;branca;segunda serie fundamental;analfabeto ou sem instrucao;primeira serie fundamental;678;1500;2;2;evangelica;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda parcial;concorda parcial
NORDESTE;66;urbano;masculino;parda;segunda serie fundamental;terceira serie fundamental;terceira serie fundamental;678;1500;7;1;evangelica;discorda parcial;concorda total;discorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;neutro;discorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;concorda total;discorda parcial;concorda total;discorda parcial
NORDESTE;65;urbano;feminino;parda;medio completo;primeira serie fundamental;sexta serie fundamental;500;2000;3;1;catolica;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda total;discorda parcial;concorda total;concorda parcial;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda parcial;concorda parcial;discorda parcial;concorda total;discorda parcial;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda parcial
NORDESTE;49;urbano;feminino;parda;segunda serie medio;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;2000;5;2;catolica;discorda parcial;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;discorda parcial;discorda total;discorda parcial;concorda parcial;concorda total;concorda parcial;discorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;discorda parcial;discorda parcial;concorda total
NORDESTE;59;urbano;feminino;branca;medio completo;nao sabe;quarta serie fundamental completa;;;4;2;catolica;discorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda parcial;neutro;discorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda parcial;concorda parcial;concorda parcial;discorda total;discorda parcial;discorda total;concorda parcial
NORTE;19;urbano;feminino;parda;medio completo;oitava serie fundamental incompleta;quinta serie fundamental;350;350;3;1;sem;concorda parcial;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;discorda total;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;concorda parcial;discorda total;discorda total;concorda total
