regiao;idade;area;sexo;cor.ou.raca;escolaridade;escolaridadepai;escolaridademae;rendachefedefamiliaultimomes;renda.total.de.todos.os.moradores;numero.de.moradores.no.domicilio;no.ultimo.mes.alguma.pessoa.deste.domicilio.recebeu.rendimentos.do.bolsa.familia;religiao;mulheres.que.usam.roupas.que.mostram.o.corpo.merecem.ser.atacadas;as.mulatas.sao.mais.fogosas.do.que.as.mulheres.brancas;da.pra.entender.que.um.homem.que.cresceu.em.uma.familia.violenta.agrida.sua.mulher;os.homens.devem.ser.a.cabeca.do.lar;casos.de.violencia.dentro.de.casa.devem.ser.discutidos.somente.entre.os.membros.;incomoda.ver.dois.homens,.ou.duas.mulheres,.se.beijando.na.boca.em.publico;se.as.mulheres.soubessem.como.se.comportar,.haveria.menos.estupros;homem.que.bate.na.esposa.tem.que.ir.para.a.cadeia;e.violencia.falar.mentiras.sobre.uma.mulher.para.os.outros;toda.mulher.sonha.em.se.casar;o.que.acontece.com.o.casal.em.casa.nao.interessa.aos.outros;quando.ha.violencia,.os.casais.devem.se.separar;casais.de.pessoas.do.mesmo.sexo.devem.ter.os.mesmos.direitos.dos.outros.casais;da.pra.entender.que.um.homem.rasgue.ou.quebre.as.coisas.da.mulher.se.ficou.nervoso;um.homem.pode.xingar.e.gritar.com.sua.propria.mulher;e.da.natureza.do.homem.ser.violento;em.briga.de.marido.e.mulher,.nao.se.mete.a.colher;a.roupa.suja.deve.ser.lavada.em.casa;uma.mulher.so.se.sente.realizada.quando.tem.filhos;a.mulher.casada.deve.satisfazer.o.marido.na.cama,.mesmo.quando.nao.tem.vontade;piada.de.preto.e.so.brincadeira,.nao.e.racismo;um.casal.de.dois.homens.vive.um.amor.tao.bonito.quanto.entre.um.homem.e.uma.mulher;mulher.que.e.agredida.e.continua.com.o.parceiro.gosta.de.apanhar;casamento.de.homem.com.homem.ou.de.mulher.com.mulher.deve.ser.proibido;a.mulher.que.apanha.em.casa.deve.ficar.quieta.para.nao.prejudicar.os.filhos;a.questao.da.violencia.contra.as.mulheres.recebe.mais.importancia.do.que.merece;tem.mulher.que.e.pra.casar,.tem.mulher.que.e.pra.cama
SUDESTE;64;urbano;masculino;branca;medio completo;terceira serie fundamental;quarta serie fundamental incompleta;1400;3000;2;2;catolica;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total
SUDESTE;30;urbano;masculino;parda;medio completo;sexta serie fundamental;oitava serie fundamental incompleta;1200;4500;4;2;evangelica;discorda total;concorda parcial;discorda total;concorda parcial;discorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;discorda parcial;discorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total;concorda parcial;ns;discorda total;discorda total;discorda total;discorda total;concorda parcial
SUDESTE;65;urbano;masculino;branca;fundamental completa;quarta serie fundamental incompleta;quarta serie fundamental incompleta;3000;4500;3;2;catolica;discorda total;concorda total;concorda parcial;concorda total;discorda parcial;concorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;ns;discorda total;concorda parcial;discorda total;discorda total;ns
SUDESTE;60;urbano;masculino;parda;segunda serie medio;quarta serie fundamental incompleta;quarta serie fundamental incompleta;1000;4500;4;2;catolica;discorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda parcial;ns;concorda parcial;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda parcial;discorda total;discorda total;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;38;urbano;masculino;parda;cursou superior sem concluir;sexta serie fundamental;quarta serie fundamental completa;1350;3800;4;2;espirita;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;neutro;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda parcial;ns;discorda total;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;43;urbano;feminino;parda;medio completo;quarta serie fundamental completa;quarta serie fundamental completa;1400;4000;4;2;catolica;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda parcial;discorda total;discorda total;concorda total;discorda total;concorda total;discorda total
SUDESTE;54;urbano;feminino;branca;sexta serie fundamental;segunda serie fundamental;segunda serie fundamental;1500;2600;2;2;catolica;discorda parcial;ns;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda parcial;discorda total;discorda total;concorda total;discorda total;discorda total;discorda parcial
SUDESTE;36;urbano;feminino;parda;medio completo;oitava serie fundamental incompleta;fundamental completa;2000;4000;4;2;evangelica;discorda total;discorda total;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total
SUDESTE;68;urbano;masculino;branca;quarta serie fundamental completa;segunda serie fundamental;segunda serie fundamental;1450;3000;2;2;catolica;discorda total;concorda total;discorda parcial;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;discorda parcial;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;ns;discorda total;concorda total;discorda total;discorda total;concorda total
SUDESTE;66;urbano;masculino;parda;fundamental completa;terceira serie fundamental;terceira serie fundamental;3300;6000;3;2;catolica;discorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;ns;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;discorda total;discorda parcial;ns;discorda total;concorda total;discorda total;discorda total;concorda parcial
NORDESTE;28;urbano;feminino;parda;medio completo;nao sabe;quinta serie fundamental;678;678;3;2;evangelica;concorda total;discorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda total;discorda parcial;discorda parcial;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda parcial;discorda total;concorda total;discorda parcial;discorda total;concorda parcial;concorda total
NORDESTE;46;urbano;feminino;parda;fundamental completa;analfabeto ou sem instrucao;terceira serie fundamental;800;1400;5;1;catolica;discorda total;concorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda parcial;concorda total;concorda total;concorda total;discorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total
NORDESTE;56;urbano;feminino;parda;analfabeto ou sem instrucao;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;678;3;2;catolica;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;concorda parcial;discorda parcial
NORDESTE;29;urbano;masculino;parda;sexta serie fundamental;primeira serie fundamental;primeira serie fundamental;678;678;1;2;catolica;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;discorda total;concorda total;discorda total;discorda parcial;concorda parcial;discorda total;concorda total;discorda total;discorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;concorda total;discorda parcial;concorda total;discorda total
NORDESTE;49;urbano;feminino;parda;terceira serie fundamental;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;678;4;1;catolica;discorda total;discorda parcial;discorda total;concorda parcial;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;discorda parcial;concorda total;discorda total;concorda parcial;discorda parcial;discorda total;concorda parcial
NORDESTE;52;urbano;masculino;parda;analfabeto ou sem instrucao;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;678;1;2;catolica;discorda total;concorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;discorda parcial;discorda total;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda parcial
NORDESTE;29;urbano;feminino;branca;terceira serie fundamental;analfabeto ou sem instrucao;primeira serie fundamental;678;800;3;1;catolica;discorda total;concorda total;discorda parcial;concorda parcial;concorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;concorda total;discorda parcial;discorda parcial;concorda total;concorda parcial;concorda parcial
NORDESTE;28;urbano;feminino;branca;primeira serie medio;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;678;3;1;catolica;discorda parcial;discorda total;concorda total;discorda parcial;concorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total
NORDESTE;58;urbano;feminino;parda;terceira serie fundamental;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;678;4;1;evangelica;concorda total;discorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;discorda total;concorda total;discorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda total;concorda total;discorda total;concorda parcial;concorda parcial;discorda total;concorda total;discorda parcial;concorda total;concorda parcial;discorda total;concorda parcial
SUDESTE;39;metropolitano;masculino;branca;fundamental completa;quinta serie fundamental;quarta serie fundamental completa;2000;2000;2;2;catolica;discorda total;discorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;32;metropolitano;masculino;branca;fundamental completa;segunda serie fundamental;primeira serie fundamental;1500;1500;3;2;evangelica;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total
NORDESTE;46;urbano;feminino;parda;medio completo;segunda serie fundamental;segunda serie fundamental;678;1200;1;1;catolica;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;concorda total;ns;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda parcial;discorda total;discorda parcial;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total
SUDESTE;61;metropolitano;masculino;branca;quarta serie fundamental completa;primeira serie fundamental;primeira serie fundamental;670;1500;3;2;evangelica;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;discorda parcial;concorda parcial;discorda total;discorda total;concorda parcial
SUDESTE;48;metropolitano;masculino;branca;quinta serie fundamental;primeira serie fundamental;primeira serie fundamental;800;800;4;2;evangelica;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda total;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial
SUDESTE;66;metropolitano;masculino;branca;quarta serie fundamental completa;primeira serie fundamental;primeira serie fundamental;700;700;1;2;catolica;discorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
NORDESTE;39;urbano;feminino;parda;medio completo;oitava serie fundamental incompleta;terceira serie fundamental;600;2000;4;1;evangelica;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;concorda total;discorda total
SUDESTE;27;metropolitano;masculino;parda;superior completo;superior completo;sexta serie fundamental;3000;3000;3;2;sem;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda parcial;neutro;neutro;discorda total;discorda total;concorda total;neutro;discorda total;discorda total;discorda total;discorda total
SUDESTE;63;metropolitano;masculino;branca;quarta serie fundamental completa;primeira serie fundamental;primeira serie fundamental;1200;1200;2;2;evangelica;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda parcial
NORDESTE;59;urbano;feminino;parda;terceira serie fundamental;analfabeto ou sem instrucao;analfabeto ou sem instrucao;378;678;3;1;catolica;concorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;concorda total;discorda total;discorda parcial;concorda total;discorda parcial;concorda total;concorda parcial;concorda total;concorda parcial
SUDESTE;42;metropolitano;masculino;preta;fundamental completa;quinta serie fundamental;quinta serie fundamental;1800;2700;4;2;evangelica;discorda total;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;55;metropolitano;feminino;branca;superior completo;medio completo;quarta serie fundamental completa;2000;4000;3;2;catolica;discorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;discorda total;discorda parcial;discorda total;discorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda total;discorda parcial;concorda total;discorda total;discorda total;discorda total
SUDESTE;48;metropolitano;masculino;preta;quarta serie fundamental completa;segunda serie fundamental;segunda serie fundamental;800;800;2;2;catolica;concorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;discorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda parcial
NORDESTE;28;urbano;masculino;parda;medio completo;analfabeto ou sem instrucao;analfabeto ou sem instrucao;1300;2000;4;1;sem;discorda parcial;neutro;discorda parcial;concorda total;concorda total;discorda parcial;discorda total;concorda total;discorda parcial;discorda total;concorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;concorda total;concorda parcial;concorda parcial;discorda total;discorda parcial;concorda parcial;discorda total;concorda total;discorda parcial;discorda total;concorda total;concorda total
SUDESTE;60;metropolitano;masculino;preta;quarta serie fundamental completa;quarta serie fundamental completa;quarta serie fundamental completa;800;1500;3;2;evangelica;discorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial
NORDESTE;41;urbano;feminino;parda;terceira serie fundamental;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;678;1;1;catolica;discorda total;discorda total;discorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;discorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;ns;concorda parcial;concorda total;concorda parcial;concorda total
SUDESTE;32;urbano;feminino;branca;medio completo;oitava serie fundamental incompleta;oitava serie fundamental incompleta;1600;1600;5;2;evangelica;discorda total;ns;concorda parcial;discorda parcial;discorda total;discorda parcial;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total
SUDESTE;48;metropolitano;feminino;parda;medio completo;terceira serie fundamental;quarta serie fundamental incompleta;;;6;2;evangelica;discorda parcial;discorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda parcial;concorda parcial;discorda total;discorda parcial;concorda total;discorda total;discorda total;concorda total
SUDESTE;53;urbano;masculino;parda;oitava serie fundamental incompleta;analfabeto ou sem instrucao;analfabeto ou sem instrucao;1200;1200;2;2;catolica;discorda total;concorda parcial;discorda total;discorda parcial;discorda total;discorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;discorda parcial;discorda parcial;discorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;discorda parcial;discorda parcial;discorda total;concorda parcial
SUDESTE;31;metropolitano;feminino;parda;medio completo;quarta serie fundamental completa;quarta serie fundamental completa;;;1;2;catolica;concorda parcial;discorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda parcial;discorda parcial;discorda parcial;discorda total;discorda total;discorda parcial;discorda total;discorda parcial;concorda parcial;discorda parcial;discorda parcial;discorda total;concorda parcial;discorda parcial;discorda total;concorda parcial
SUDESTE;39;metropolitano;feminino;branca;medio completo;medio completo;terceira serie medio incompleto;;;4;2;outras;discorda total;discorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total
SUDESTE;35;metropolitano;feminino;parda;superior completo;quarta serie fundamental completa;quarta serie fundamental completa;;;3;2;evangelica;discorda parcial;discorda parcial;concorda parcial;discorda parcial;discorda parcial;concorda total;discorda parcial;concorda total;discorda total;concorda parcial;concorda total;discorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;concorda total;discorda total;neutro;concorda total
SUDESTE;18;urbano;feminino;parda;terceira serie medio incompleto;nao sabe;nao sabe;2300;2300;4;2;catolica;concorda parcial;discorda total;discorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;discorda parcial;discorda total;concorda total;discorda total;discorda parcial;discorda total;discorda total;discorda total
SUDESTE;61;urbano;feminino;branca;quarta serie fundamental completa;nao sabe;nao sabe;2000;;3;2;catolica;discorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;neutro;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;ns;ns;ns;ns
SUDESTE;17;urbano;masculino;parda;primeira serie medio;nao sabe;quinta serie fundamental;1600;1600;2;2;catolica;discorda total;concorda total;discorda total;concorda total;discorda total;discorda parcial;discorda total;concorda total;discorda total;concorda parcial;concorda parcial;discorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;ns;discorda total;discorda parcial;concorda parcial;discorda total;concorda parcial
SUDESTE;51;urbano;feminino;parda;primeira serie medio;analfabeto ou sem instrucao;analfabeto ou sem instrucao;1100;2000;6;2;espirita;discorda total;ns;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;discorda total
SUDESTE;44;metropolitano;masculino;branca;medio completo;segunda serie fundamental;segunda serie fundamental;2500;3200;4;2;catolica;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial
SUDESTE;56;urbano;masculino;parda;especializacao;terceira serie fundamental;terceira serie fundamental;1900;1900;5;2;catolica;discorda total;discorda parcial;discorda total;discorda total;discorda parcial;discorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;discorda total;discorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;discorda parcial;neutro;discorda parcial;concorda parcial;concorda parcial
SUDESTE;34;urbano;masculino;parda;medio completo;medio completo;fundamental completa;3500;3500;4;2;catolica;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;discorda parcial;discorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;discorda total;discorda parcial;discorda parcial;discorda total;concorda parcial
SUDESTE;29;metropolitano;feminino;preta;fundamental completa;quinta serie fundamental;quarta serie fundamental completa;;;3;2;evangelica;concorda parcial;neutro;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;56;metropolitano;feminino;preta;quinta serie fundamental;primeira serie fundamental;segunda serie fundamental;800;800;2;2;evangelica;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;26;urbano;feminino;parda;superior completo;medio completo;medio completo;;3000;2;2;catolica;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total
SUDESTE;55;metropolitano;masculino;branca;quarta serie fundamental completa;primeira serie fundamental;terceira serie fundamental;1500;2000;3;2;evangelica;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;48;metropolitano;feminino;branca;fundamental completa;segunda serie fundamental;segunda serie fundamental;1500;2000;3;2;evangelica;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;49;metropolitano;masculino;branca;medio completo;quarta serie fundamental completa;quarta serie fundamental completa;2000;3000;3;2;catolica;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;discorda total;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;39;urbano;feminino;branca;medio completo;quinta serie fundamental;nao sabe;420;420;2;2;evangelica;neutro;ns;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;neutro;neutro;neutro;neutro;discorda total;concorda total;neutro;neutro;concorda total;concorda parcial;concorda total;concorda total;discorda total;ns;concorda total
SUDESTE;27;urbano;masculino;branca;medio completo;fundamental completa;setima serie fundamental;1000;;3;2;catolica;discorda total;ns;ns;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda parcial;discorda total;discorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total
SUDESTE;74;metropolitano;feminino;branca;quarta serie fundamental completa;nao sabe;quarta serie fundamental completa;1000;1000;2;2;catolica;discorda total;concorda parcial;concorda total;concorda parcial;discorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda parcial;neutro;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda total
SUDESTE;66;metropolitano;feminino;parda;primeira serie fundamental;primeira serie fundamental;analfabeto ou sem instrucao;1000;1000;3;2;catolica;discorda total;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda parcial;neutro;concorda parcial;discorda parcial;discorda total;concorda parcial;concorda total
SUDESTE;63;metropolitano;masculino;parda;superior completo;nao sabe;nao sabe;1800;1800;2;2;catolica;concorda parcial;ns;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda parcial;discorda total;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda total
